id	start_time	duration	norm_pos_x	norm_pos_y
0	0.000	0.300	0.486	0.093
1	0.332	0.168	0.533	0.085
2	0.532	0.432	0.601	0.065
3	1.032	0.200	0.349	0.572
4	1.264	0.168	0.295	0.622
5	1.564	0.436	0.327	0.622
6	2.032	0.332	0.542	0.067
7	2.400	0.464	0.505	0.101
8	2.900	0.232	0.640	0.079
9	3.164	0.168	0.555	0.088
10	3.532	0.768	0.282	0.628
11	4.364	0.200	0.529	0.611
12	4.600	0.200	0.599	0.606
13	4.864	0.300	0.482	0.110
14	5.400	0.564	0.268	0.638
15	6.000	0.300	0.356	0.614
16	6.332	0.332	0.287	0.633
17	6.732	0.268	0.449	0.609
18	7.032	0.300	0.594	0.591
19	7.364	0.400	0.405	0.618
20	7.800	0.300	0.350	0.635
21	8.132	0.232	0.265	0.645
22	8.400	0.200	0.315	0.624
23	8.632	0.232	0.500	0.611
24	8.900	0.200	0.574	0.614
25	9.132	0.700	0.336	0.642
26	9.864	0.600	0.302	0.627
27	10.500	0.464	0.379	0.625
28	11.000	0.700	0.457	0.625
29	11.732	0.400	0.603	0.612
30	12.264	0.436	0.280	0.595
31	12.764	0.932	0.425	0.598
32	13.732	0.400	0.524	0.585
33	14.164	0.168	0.590	0.584
34	14.396	0.800	0.381	0.552
35	15.232	0.364	0.472	0.542
36	15.896	0.268	0.492	0.128
37	16.232	0.164	0.369	0.610
38	16.432	0.564	0.287	0.670
39	17.032	1.132	0.263	0.659
40	18.196	0.436	0.346	0.644
41	18.664	0.468	0.416	0.639
42	19.164	0.532	0.498	0.643
43	19.732	0.232	0.567	0.627
44	19.996	0.436	0.615	0.624
45	20.496	0.600	0.270	0.601
46	21.132	0.164	0.328	0.595
47	21.332	0.400	0.438	0.595
48	21.764	0.232	0.461	0.592
49	22.032	0.300	0.553	0.587
50	22.364	1.100	0.613	0.576
51	23.496	0.268	0.487	0.128
52	23.832	1.164	0.279	0.663
53	25.032	0.300	0.335	0.653
54	25.364	1.200	0.417	0.649
55	26.596	0.300	0.506	0.641
56	26.932	0.532	0.593	0.633
57	27.496	0.168	0.615	0.662
58	27.696	1.236	0.269	0.614
59	28.964	0.168	0.334	0.603
60	29.196	0.700	0.428	0.612
61	29.932	0.164	0.507	0.599
62	30.132	0.600	0.577	0.589
63	30.932	0.164	0.429	0.546
64	31.132	0.200	0.433	0.547
65	31.496	0.400	0.330	0.646
66	31.932	0.200	0.305	0.633
67	32.164	0.432	0.398	0.634
68	32.632	0.232	0.341	0.659
69	32.896	0.336	0.384	0.661
70	33.264	0.500	0.481	0.642
71	34.032	0.264	0.414	0.671
72	34.632	0.264	0.402	0.661
73	34.932	0.332	0.489	0.670
74	35.296	0.936	0.356	0.670
75	36.264	0.368	0.413	0.651
76	36.664	0.632	0.595	0.619
77	37.364	0.668	0.276	0.651
78	38.064	0.200	0.547	0.642
79	38.296	1.268	0.594	0.640
80	39.632	1.564	0.312	0.638
81	41.364	0.564	0.304	0.629
82	42.064	0.900	0.290	0.668
83	43.328	2.000	0.602	0.629
84	45.364	0.364	0.299	0.642
85	45.764	0.664	0.256	0.694
86	46.496	0.732	0.582	0.647
87	47.264	3.264	0.282	0.638
88	50.596	0.168	0.521	0.620
89	50.996	0.468	0.293	0.665
90	51.528	0.200	0.528	0.623
91	51.764	0.400	0.605	0.616
92	52.228	0.800	0.273	0.662
93	53.096	0.700	0.584	0.625
94	53.864	0.364	0.279	0.662
95	54.264	0.400	0.601	0.638
96	54.728	0.336	0.273	0.628
97	55.164	0.964	0.280	0.662
98	56.164	2.064	0.284	0.665
99	58.364	0.232	0.347	0.672
100	58.628	1.000	0.268	0.696
101	59.696	0.300	0.534	0.625
102	60.028	0.336	0.262	0.663
103	60.528	0.768	0.265	0.690
104	61.328	1.836	0.609	0.619
105	63.196	0.932	0.290	0.651
106	64.296	2.132	0.297	0.664
107	66.764	0.300	0.280	0.656
108	67.196	0.800	0.297	0.693
109	68.064	1.164	0.603	0.630
110	69.328	0.168	0.296	0.651
111	69.764	0.164	0.604	0.675
112	69.964	0.396	0.296	0.667
113	70.528	0.668	0.290	0.686
114	71.228	0.232	0.243	0.616
115	71.528	0.300	0.587	0.562
116	71.860	0.700	0.298	0.649
117	72.596	0.332	0.237	0.680
118	73.160	0.336	0.569	0.646
119	73.528	0.300	0.615	0.647
120	73.896	1.100	0.280	0.682
121	75.096	0.432	0.295	0.707
122	75.560	0.236	0.556	0.638
123	76.160	0.668	0.278	0.684
124	76.896	1.264	0.585	0.643
125	78.228	0.268	0.291	0.671
126	78.636	0.324	0.282	0.731
127	78.996	1.800	0.258	0.698
128	80.828	0.468	0.556	0.644
129	81.328	0.368	0.303	0.684
130	81.860	0.536	0.300	0.714
131	82.628	0.432	0.293	0.690
132	83.096	0.232	0.370	0.664
133	83.360	0.536	0.263	0.685
