time	event_type	event	left	right	bottom	top
4.200049314	stimulus	1a	0.283	0.384	0.412	0.582
14.200049314	stimulus	1b	0.616	0.718	0.412	0.582
22.200049314	stimulus	2a	0.283	0.384	0.412	0.582
27.200049314	stimulus	2b	0.616	0.718	0.412	0.582
33.200049314	stimulus	1a	0.283	0.384	0.412	0.582
45.200049314	stimulus	1b	0.616	0.718	0.412	0.582
51.200049314	stimulus	2a	0.283	0.384	0.412	0.582
62.200049314	stimulus	2b	0.616	0.718	0.412	0.582
71.200049314	stimulus	1a	0.283	0.384	0.412	0.582
81.200049314	stimulus	1b	0.616	0.718	0.412	0.582
88.200049314	stimulus	2a	0.283	0.384	0.412	0.582
96.200049314	stimulus	2b	0.616	0.718	0.412	0.582
101.200049314	stimulus	1a	0.283	0.384	0.412	0.582
110.200049314	stimulus	1b	0.616	0.718	0.412	0.582
120.200049314	stimulus	2a	0.283	0.384	0.412	0.582
130.200049314	stimulus	2b	0.616	0.718	0.412	0.582
135.200049314	stimulus	1a	0.283	0.384	0.412	0.582
143.200049314	stimulus	1b	0.616	0.718	0.412	0.582
153.200049314	stimulus	2a	0.283	0.384	0.412	0.582
159.200049314	stimulus	2b	0.616	0.718	0.412	0.582
166.200049314	stimulus	1a	0.283	0.384	0.412	0.582
176.200049314	stimulus	1b	0.616	0.718	0.412	0.582
181.200049314	stimulus	2a	0.283	0.384	0.412	0.582
191.200049314	stimulus	2b	0.616	0.718	0.412	0.582
198.200049314	stimulus	1a	0.283	0.384	0.412	0.582
206.200049314	stimulus	1b	0.616	0.718	0.412	0.582
217.200049314	stimulus	2a	0.283	0.384	0.412	0.582
226.200049314	stimulus	2b	0.616	0.718	0.412	0.582
235.200049314	stimulus	1a	0.283	0.384	0.412	0.582
240.200049314	stimulus	1b	0.616	0.718	0.412	0.582
248.200049314	stimulus	2a	0.283	0.384	0.412	0.582
259.200049314	stimulus	2b	0.616	0.718	0.412	0.582
265.200049314	stimulus	1a	0.283	0.384	0.412	0.582
274.200049314	stimulus	1b	0.616	0.718	0.412	0.582
285.200049314	stimulus	2a	0.283	0.384	0.412	0.582
295.200049314	stimulus	2b	0.616	0.718	0.412	0.582
303.200049314	stimulus	1a	0.283	0.384	0.412	0.582
304.200049314	stimulus	1b	0.616	0.718	0.412	0.582
4.200049314	virtual	S	NA	NA	NA	NA
5.663999384	response	R	NA	NA	NA	NA
6.899980244	response	R	NA	NA	NA	NA
8.100062274	response	R	NA	NA	NA	NA
9.331974984	response	R	NA	NA	NA	NA
10.532053564	response	R	NA	NA	NA	NA
11.564061414	response	R	NA	NA	NA	NA
12.864058124	response	R	NA	NA	NA	NA
13.932036154	response	R	NA	NA	NA	NA
15.064010074	response	R	NA	NA	NA	NA
15.963957544	response	R	NA	NA	NA	NA
17.196008104	response	R	NA	NA	NA	NA
18.295955624	response	R	NA	NA	NA	NA
19.364031224	response	R	NA	NA	NA	NA
20.432027124	response	R	NA	NA	NA	NA
21.464039474	response	R	NA	NA	NA	NA
22.632067054	response	R	NA	NA	NA	NA
23.396068244	response	R	NA	NA	NA	NA
26.563993784	response	R	NA	NA	NA	NA
29.196040214	response	R	NA	NA	NA	NA
33.996051624	response	R	NA	NA	NA	NA
34.796033494	response	R	NA	NA	NA	NA
35.696044554	response	R	NA	NA	NA	NA
36.696050804	response	R	NA	NA	NA	NA
37.632048194	response	R	NA	NA	NA	NA
38.632049324	response	R	NA	NA	NA	NA
39.664023894	response	R	NA	NA	NA	NA
40.564033834	response	R	NA	NA	NA	NA
41.428061424	response	R	NA	NA	NA	NA
42.564040064	response	R	NA	NA	NA	NA
43.564037154	response	R	NA	NA	NA	NA
44.596042724	response	R	NA	NA	NA	NA
45.496028824	response	R	NA	NA	NA	NA
47.364046504	response	R	NA	NA	NA	NA
47.528066074	response	R	NA	NA	NA	NA
48.164053504	response	R	NA	NA	NA	NA
49.064040564	response	R	NA	NA	NA	NA
50.064057154	response	R	NA	NA	NA	NA
50.928053814	response	R	NA	NA	NA	NA
51.896056804	response	R	NA	NA	NA	NA
64.128056924	response	R	NA	NA	NA	NA
71.960048864	response	R	NA	NA	NA	NA
72.460055124	response	R	NA	NA	NA	NA
72.928058134	response	R	NA	NA	NA	NA
73.360018684	response	R	NA	NA	NA	NA
73.760068864	response	R	NA	NA	NA	NA
74.160065984	response	R	NA	NA	NA	NA
74.560054064	response	R	NA	NA	NA	NA
74.996107474	response	R	NA	NA	NA	NA
75.528064394	response	R	NA	NA	NA	NA
75.928063664	response	R	NA	NA	NA	NA
76.360024864	response	R	NA	NA	NA	NA
76.796093564	response	R	NA	NA	NA	NA
77.396096094	response	R	NA	NA	NA	NA
78.460072704	response	R	NA	NA	NA	NA
79.196115254	response	R	NA	NA	NA	NA
79.628116024	response	R	NA	NA	NA	NA
80.160091414	response	R	NA	NA	NA	NA
80.760091264	response	R	NA	NA	NA	NA
81.796097514	response	R	NA	NA	NA	NA
82.628106044	response	R	NA	NA	NA	NA
83.196079374	response	R	NA	NA	NA	NA
83.728069184	response	R	NA	NA	NA	NA
84.396100464	response	R	NA	NA	NA	NA
85.096107214	response	R	NA	NA	NA	NA
85.896127574	response	R	NA	NA	NA	NA
86.528096494	response	R	NA	NA	NA	NA
87.096099944	response	R	NA	NA	NA	NA
87.696101484	response	R	NA	NA	NA	NA
88.296102594	response	R	NA	NA	NA	NA
90.628102464	response	R	NA	NA	NA	NA
102.260141644	response	R	NA	NA	NA	NA
102.760112114	response	R	NA	NA	NA	NA
103.192109914	response	R	NA	NA	NA	NA
103.692115244	response	R	NA	NA	NA	NA
104.260127394	response	R	NA	NA	NA	NA
104.728078204	response	R	NA	NA	NA	NA
105.228025334	response	R	NA	NA	NA	NA
105.760108834	response	R	NA	NA	NA	NA
106.360081884	response	R	NA	NA	NA	NA
107.092063354	response	R	NA	NA	NA	NA
107.860110274	response	R	NA	NA	NA	NA
108.660113884	response	R	NA	NA	NA	NA
109.192115214	response	R	NA	NA	NA	NA
109.660109034	response	R	NA	NA	NA	NA
110.060113114	response	R	NA	NA	NA	NA
110.560106054	response	R	NA	NA	NA	NA
111.160110344	response	R	NA	NA	NA	NA
111.692077954	response	R	NA	NA	NA	NA
112.292115964	response	R	NA	NA	NA	NA
112.960119514	response	R	NA	NA	NA	NA
113.492125054	response	R	NA	NA	NA	NA
113.992109534	response	R	NA	NA	NA	NA
114.528109294	response	R	NA	NA	NA	NA
114.992114424	response	R	NA	NA	NA	NA
115.528109224	response	R	NA	NA	NA	NA
116.060095184	response	R	NA	NA	NA	NA
116.460101794	response	R	NA	NA	NA	NA
116.928092174	response	R	NA	NA	NA	NA
117.660120084	response	R	NA	NA	NA	NA
118.260124634	response	R	NA	NA	NA	NA
118.728108594	response	R	NA	NA	NA	NA
119.260112884	response	R	NA	NA	NA	NA
119.792113864	response	R	NA	NA	NA	NA
120.792072024	response	R	NA	NA	NA	NA
135.924083284	response	R	NA	NA	NA	NA
