time	x_norm	y_norm
0.000	0.467	0.015
0.064	0.480	0.007
0.100	0.483	0.009
0.132	0.483	0.011
0.164	0.484	0.012
0.200	0.437	0.379
0.232	0.445	0.489
0.264	0.451	0.494
0.300	0.455	0.500
0.332	0.457	0.505
0.364	0.459	0.504
0.400	0.461	0.507
0.432	0.463	0.505
0.464	0.464	0.509
0.500	0.465	0.511
0.532	0.465	0.509
0.564	0.466	0.508
0.600	0.496	0.502
0.632	0.533	0.498
0.664	0.534	0.498
0.700	0.535	0.502
0.732	0.535	0.505
0.764	0.536	0.505
0.800	0.562	0.500
0.832	0.588	0.505
0.864	0.590	0.501
0.900	0.588	0.502
0.932	0.588	0.504
0.964	0.587	0.504
1.000	0.587	0.504
1.032	0.432	0.501
1.076	0.325	0.496
1.147	0.322	0.492
1.214	0.318	0.496
1.302	0.316	0.500
1.361	0.314	0.505
1.431	0.314	0.502
1.491	0.312	0.498
1.555	0.311	0.498
1.619	0.380	0.493
1.700	0.383	0.488
1.777	0.380	0.488
1.906	0.377	0.496
1.970	0.374	0.498
2.016	0.375	0.500
2.052	0.375	0.498
2.065	0.299	0.502
2.079	0.300	0.499
2.100	0.297	0.504
2.132	0.295	0.507
2.164	0.294	0.506
2.200	0.293	0.507
2.232	0.294	0.507
2.264	0.295	0.508
2.300	0.319	0.498
2.332	0.355	0.602
2.400	0.414	0.597
2.432	0.421	0.518
2.564	0.389	0.469
2.600	0.384	0.467
2.632	0.381	0.468
2.664	0.401	0.516
2.700	0.400	0.511
2.732	0.398	0.513
2.764	0.396	0.515
2.800	0.397	0.517
2.832	0.397	0.515
2.864	0.396	0.516
2.900	0.394	0.512
2.932	0.393	0.511
2.964	0.394	0.510
3.000	0.345	0.507
3.032	0.345	0.504
3.064	0.345	0.503
3.100	0.344	0.500
3.132	0.345	0.500
3.164	0.347	0.497
3.200	0.346	0.498
3.232	0.346	0.496
3.264	0.347	0.493
3.300	0.346	0.491
3.332	0.347	0.492
3.364	0.346	0.493
3.400	0.347	0.493
3.432	0.347	0.491
3.464	0.347	0.494
3.500	0.345	0.497
3.532	0.347	0.500
3.564	0.347	0.502
3.600	0.347	0.504
3.632	0.347	0.505
3.664	0.346	0.504
3.700	0.355	0.475
3.732	0.394	0.001
3.764	0.413	-0.031
3.800	0.416	-0.030
3.832	0.419	-0.026
3.864	0.422	-0.025
3.900	0.424	-0.024
3.932	0.424	-0.024
3.964	0.426	-0.024
4.032	0.391	-0.028
4.100	0.389	-0.028
4.132	0.388	-0.030
4.164	0.387	-0.030
4.200	0.387	-0.020
4.232	0.402	0.060
4.264	0.404	0.061
4.300	0.405	0.059
4.364	0.467	-0.016
4.400	0.468	-0.020
4.432	0.465	-0.021
4.464	0.463	-0.019
4.500	0.466	-0.017
4.532	0.469	-0.026
4.564	0.471	-0.028
4.600	0.497	-0.040
4.632	0.511	-0.044
4.664	0.511	-0.044
4.700	0.514	-0.044
4.732	0.516	-0.046
4.764	0.513	-0.043
4.800	0.506	-0.036
4.832	0.377	0.478
4.864	0.373	0.529
4.900	0.377	0.530
4.932	0.380	0.539
5.032	0.397	0.561
5.064	0.396	0.555
5.100	0.396	0.550
5.132	0.396	0.543
5.164	0.396	0.538
5.232	0.395	0.537
5.264	0.396	0.536
5.300	0.397	0.533
5.332	0.398	0.533
5.364	0.397	0.532
5.400	0.394	0.531
5.432	0.392	0.531
5.464	0.391	0.529
5.500	0.391	0.528
5.532	0.384	0.519
5.564	0.375	0.509
5.600	0.372	0.503
5.632	0.371	0.504
5.664	0.347	0.498
5.700	0.343	0.490
5.732	0.340	0.487
5.764	0.338	0.483
5.800	0.337	0.480
5.832	0.336	0.480
5.864	0.390	0.474
