time	event_type	event	left	right	bottom	top
2.563983774	stimulus	1a	0.283	0.384	0.412	0.582
10.563983774	stimulus	1b	0.616	0.718	0.412	0.582
14.563983774	stimulus	2a	0.283	0.384	0.412	0.582
20.563983774	stimulus	2b	0.616	0.718	0.412	0.582
30.563983774	stimulus	1a	0.283	0.384	0.412	0.582
40.563983774	stimulus	1b	0.616	0.718	0.412	0.582
45.563983774	stimulus	2a	0.283	0.384	0.412	0.582
50.563983774	stimulus	2b	0.616	0.718	0.412	0.582
56.563983774	stimulus	1a	0.283	0.384	0.412	0.582
62.563983774	stimulus	1b	0.616	0.718	0.412	0.582
71.563983774	stimulus	2a	0.283	0.384	0.412	0.582
76.563983774	stimulus	2b	0.616	0.718	0.412	0.582
82.563983774	stimulus	1a	0.283	0.384	0.412	0.582
89.563983774	stimulus	1b	0.616	0.718	0.412	0.582
101.563983774	stimulus	2a	0.283	0.384	0.412	0.582
110.563983774	stimulus	2b	0.616	0.718	0.412	0.582
115.563983774	stimulus	1a	0.283	0.384	0.412	0.582
126.563983774	stimulus	1b	0.616	0.718	0.412	0.582
134.563983774	stimulus	2a	0.283	0.384	0.412	0.582
142.563983774	stimulus	2b	0.616	0.718	0.412	0.582
148.563983774	stimulus	1a	0.283	0.384	0.412	0.582
152.563983774	stimulus	1b	0.616	0.718	0.412	0.582
159.563983774	stimulus	2a	0.283	0.384	0.412	0.582
167.563983774	stimulus	2b	0.616	0.718	0.412	0.582
174.563983774	stimulus	1a	0.283	0.384	0.412	0.582
184.563983774	stimulus	1b	0.616	0.718	0.412	0.582
192.563983774	stimulus	2a	0.283	0.384	0.412	0.582
199.563983774	stimulus	2b	0.616	0.718	0.412	0.582
204.563983774	stimulus	1a	0.283	0.384	0.412	0.582
212.563983774	stimulus	1b	0.616	0.718	0.412	0.582
221.563983774	stimulus	2a	0.283	0.384	0.412	0.582
229.563983774	stimulus	2b	0.616	0.718	0.412	0.582
237.563983774	stimulus	1a	0.283	0.384	0.412	0.582
246.563983774	stimulus	1b	0.616	0.718	0.412	0.582
253.563983774	stimulus	2a	0.283	0.384	0.412	0.582
260.563983774	stimulus	2b	0.616	0.718	0.412	0.582
269.563983774	stimulus	1a	0.283	0.384	0.412	0.582
282.563983774	stimulus	1b	0.616	0.718	0.412	0.582
289.563983774	stimulus	2a	0.283	0.384	0.412	0.582
302.563983774	stimulus	2b	0.616	0.718	0.412	0.582
2.563983774	virtual	S	NA	NA	NA	NA
6.763986274	response	R	NA	NA	NA	NA
7.363988374	response	R	NA	NA	NA	NA
7.963973574	response	R	NA	NA	NA	NA
8.500023274	response	R	NA	NA	NA	NA
8.963996174	response	R	NA	NA	NA	NA
10.764016174	response	R	NA	NA	NA	NA
12.931981874	response	R	NA	NA	NA	NA
13.232010674	response	R	NA	NA	NA	NA
13.563977074	response	R	NA	NA	NA	NA
13.963989874	response	R	NA	NA	NA	NA
14.299989174	response	R	NA	NA	NA	NA
14.631965074	response	R	NA	NA	NA	NA
15.931966174	response	R	NA	NA	NA	NA
16.199976674	response	R	NA	NA	NA	NA
16.463992274	response	R	NA	NA	NA	NA
16.731972974	response	R	NA	NA	NA	NA
17.031999574	response	R	NA	NA	NA	NA
17.363995074	response	R	NA	NA	NA	NA
19.431981574	response	R	NA	NA	NA	NA
19.699983274	response	R	NA	NA	NA	NA
21.799987574	response	R	NA	NA	NA	NA
22.064003274	response	R	NA	NA	NA	NA
22.431973874	response	R	NA	NA	NA	NA
22.700004674	response	R	NA	NA	NA	NA
23.031989674	response	R	NA	NA	NA	NA
23.299970574	response	R	NA	NA	NA	NA
23.599975274	response	R	NA	NA	NA	NA
23.899972174	response	R	NA	NA	NA	NA
26.364025874	response	R	NA	NA	NA	NA
27.231988274	response	R	NA	NA	NA	NA
28.431980974	response	R	NA	NA	NA	NA
29.663998974	response	R	NA	NA	NA	NA
29.995987674	response	R	NA	NA	NA	NA
30.231983974	response	R	NA	NA	NA	NA
30.532008474	response	R	NA	NA	NA	NA
30.796005774	response	R	NA	NA	NA	NA
33.195982274	response	R	NA	NA	NA	NA
33.531981074	response	R	NA	NA	NA	NA
33.795976774	response	R	NA	NA	NA	NA
34.131986574	response	R	NA	NA	NA	NA
34.395977274	response	R	NA	NA	NA	NA
34.663986874	response	R	NA	NA	NA	NA
34.963987674	response	R	NA	NA	NA	NA
35.232011274	response	R	NA	NA	NA	NA
35.563977474	response	R	NA	NA	NA	NA
35.796002474	response	R	NA	NA	NA	NA
36.995977774	response	R	NA	NA	NA	NA
37.695982474	response	R	NA	NA	NA	NA
37.995996274	response	R	NA	NA	NA	NA
39.031974274	response	R	NA	NA	NA	NA
39.695985574	response	R	NA	NA	NA	NA
39.963977374	response	R	NA	NA	NA	NA
40.663973274	response	R	NA	NA	NA	NA
43.732011974	response	R	NA	NA	NA	NA
43.932016974	response	R	NA	NA	NA	NA
44.164002674	response	R	NA	NA	NA	NA
44.396054074	response	R	NA	NA	NA	NA
44.663987774	response	R	NA	NA	NA	NA
44.895985874	response	R	NA	NA	NA	NA
45.163997574	response	R	NA	NA	NA	NA
45.396005174	response	R	NA	NA	NA	NA
45.663995674	response	R	NA	NA	NA	NA
45.932012974	response	R	NA	NA	NA	NA
47.221388774	response	R	NA	NA	NA	NA
47.495972874	response	R	NA	NA	NA	NA
47.764002174	response	R	NA	NA	NA	NA
47.996047674	response	R	NA	NA	NA	NA
48.263991274	response	R	NA	NA	NA	NA
48.495984874	response	R	NA	NA	NA	NA
48.764031574	response	R	NA	NA	NA	NA
49.063982174	response	R	NA	NA	NA	NA
49.264015674	response	R	NA	NA	NA	NA
49.595976274	response	R	NA	NA	NA	NA
49.832020774	response	R	NA	NA	NA	NA
50.132012574	response	R	NA	NA	NA	NA
50.795977074	response	R	NA	NA	NA	NA
51.096018574	response	R	NA	NA	NA	NA
51.832024274	response	R	NA	NA	NA	NA
52.764028574	response	R	NA	NA	NA	NA
53.095975274	response	R	NA	NA	NA	NA
53.364016574	response	R	NA	NA	NA	NA
53.963977874	response	R	NA	NA	NA	NA
54.231978974	response	R	NA	NA	NA	NA
54.563978774	response	R	NA	NA	NA	NA
54.863990474	response	R	NA	NA	NA	NA
55.227976174	response	R	NA	NA	NA	NA
55.463983574	response	R	NA	NA	NA	NA
55.795973274	response	R	NA	NA	NA	NA
56.064018074	response	R	NA	NA	NA	NA
56.327980774	response	R	NA	NA	NA	NA
56.596030274	response	R	NA	NA	NA	NA
56.863991874	response	R	NA	NA	NA	NA
61.464025874	response	R	NA	NA	NA	NA
61.764004774	response	R	NA	NA	NA	NA
62.095984674	response	R	NA	NA	NA	NA
62.627979674	response	R	NA	NA	NA	NA
62.927984274	response	R	NA	NA	NA	NA
67.427992374	response	R	NA	NA	NA	NA
68.064007874	response	R	NA	NA	NA	NA
68.628039874	response	R	NA	NA	NA	NA
69.227994374	response	R	NA	NA	NA	NA
69.964000774	response	R	NA	NA	NA	NA
70.563998374	response	R	NA	NA	NA	NA
76.527996974	response	R	NA	NA	NA	NA
76.927976674	response	R	NA	NA	NA	NA
78.363990774	response	R	NA	NA	NA	NA
78.763994974	response	R	NA	NA	NA	NA
82.563995374	response	R	NA	NA	NA	NA
83.127992974	response	R	NA	NA	NA	NA
84.296002774	response	R	NA	NA	NA	NA
84.695979974	response	R	NA	NA	NA	NA
85.259981174	response	R	NA	NA	NA	NA
85.660016274	response	R	NA	NA	NA	NA
86.327979674	response	R	NA	NA	NA	NA
86.827977174	response	R	NA	NA	NA	NA
87.559983274	response	R	NA	NA	NA	NA
88.059976174	response	R	NA	NA	NA	NA
88.359999874	response	R	NA	NA	NA	NA
88.559998674	response	R	NA	NA	NA	NA
88.759994174	response	R	NA	NA	NA	NA
88.795996274	response	R	NA	NA	NA	NA
88.959996474	response	R	NA	NA	NA	NA
89.195997074	response	R	NA	NA	NA	NA
89.359993374	response	R	NA	NA	NA	NA
89.628038474	response	R	NA	NA	NA	NA
89.867587274	response	R	NA	NA	NA	NA
95.095993274	response	R	NA	NA	NA	NA
95.595992474	response	R	NA	NA	NA	NA
96.160012174	response	R	NA	NA	NA	NA
96.759991174	response	R	NA	NA	NA	NA
97.395993274	response	R	NA	NA	NA	NA
98.160006574	response	R	NA	NA	NA	NA
98.996017074	response	R	NA	NA	NA	NA
99.559969174	response	R	NA	NA	NA	NA
100.195986574	response	R	NA	NA	NA	NA
101.896015874	response	R	NA	NA	NA	NA
111.881312174	response	R	NA	NA	NA	NA
116.827981174	response	R	NA	NA	NA	NA
124.359991574	response	R	NA	NA	NA	NA
128.892094874	response	R	NA	NA	NA	NA
133.328104074	response	R	NA	NA	NA	NA
142.223998574	response	R	NA	NA	NA	NA
148.660003374	response	R	NA	NA	NA	NA
152.260005374	response	R	NA	NA	NA	NA
156.091985074	response	R	NA	NA	NA	NA
164.192030974	response	R	NA	NA	NA	NA
169.523983574	response	R	NA	NA	NA	NA
174.492004774	response	R	NA	NA	NA	NA
180.792011774	response	R	NA	NA	NA	NA
188.158311774	response	R	NA	NA	NA	NA
190.447575874	response	R	NA	NA	NA	NA
194.524019474	response	R	NA	NA	NA	NA
195.956013374	response	R	NA	NA	NA	NA
198.391998174	response	R	NA	NA	NA	NA
201.556983974	response	R	NA	NA	NA	NA
208.256008274	response	R	NA	NA	NA	NA
212.255997074	response	R	NA	NA	NA	NA
216.487994274	response	R	NA	NA	NA	NA
220.187998474	response	R	NA	NA	NA	NA
222.824000474	response	R	NA	NA	NA	NA
223.223977374	response	R	NA	NA	NA	NA
223.688018174	response	R	NA	NA	NA	NA
224.224020174	response	R	NA	NA	NA	NA
225.823983874	response	R	NA	NA	NA	NA
226.688003074	response	R	NA	NA	NA	NA
227.523996974	response	R	NA	NA	NA	NA
229.223990574	response	R	NA	NA	NA	NA
230.120004274	response	R	NA	NA	NA	NA
230.855997674	response	R	NA	NA	NA	NA
232.419997974	response	R	NA	NA	NA	NA
232.820011674	response	R	NA	NA	NA	NA
233.720014074	response	R	NA	NA	NA	NA
237.287996974	response	R	NA	NA	NA	NA
240.555989974	response	R	NA	NA	NA	NA
244.056017674	response	R	NA	NA	NA	NA
248.255994874	response	R	NA	NA	NA	NA
251.019986974	response	R	NA	NA	NA	NA
253.740816174	response	R	NA	NA	NA	NA
256.955988974	response	R	NA	NA	NA	NA
259.851992374	response	R	NA	NA	NA	NA
263.288011774	response	R	NA	NA	NA	NA
265.887981274	response	R	NA	NA	NA	NA
266.819996774	response	R	NA	NA	NA	NA
269.151989874	response	R	NA	NA	NA	NA
274.087992874	response	R	NA	NA	NA	NA
277.787997274	response	R	NA	NA	NA	NA
280.787993374	response	R	NA	NA	NA	NA
283.419985274	response	R	NA	NA	NA	NA
286.552001274	response	R	NA	NA	NA	NA
289.151981774	response	R	NA	NA	NA	NA
292.284021074	response	R	NA	NA	NA	NA
295.383991574	response	R	NA	NA	NA	NA
297.320011974	response	R	NA	NA	NA	NA
297.984023274	response	R	NA	NA	NA	NA
298.384016874	response	R	NA	NA	NA	NA
298.651990174	response	R	NA	NA	NA	NA
298.951982674	response	R	NA	NA	NA	NA
299.219987674	response	R	NA	NA	NA	NA
299.519992074	response	R	NA	NA	NA	NA
299.852039574	response	R	NA	NA	NA	NA
302.519978774	virtual	E	NA	NA	NA	NA
